geoName,Xbox
Brisbane,65
Bundaberg,83
Cairns,57
Gladstone,68
Gold Coast,64
Hervey Bay,82
Mackay,76
Rockhampton,75
Sunshine Coast,70
Toowoomba,76
Townsville,70
